CreditScore,LTV,DTI,FEDTI,POINTS
778,0.88,0.666741863,0.363486948,0.47580064831176466
546,0.91,1.099353522,0.762164001,0.1138482477
736,0.92,0.688545766,0.487091531,0.3989068585352941
761,0.93,0.294183493,0.17138269,0.6942006600263827
615,0.95,1.792763924,1.241641729,-0.09844056529999999
661,0.71,0.282911919,0.18836766,0.8113441308852843
811,0.8,0.256935872,0.141414477,0.82827171303547
648,0.73,0.278479375,0.159978033,0.8186905781595661
742,0.95,0.252315311,0.147444652,0.6118985105296072
554,0.95,0.438257473,0.322315444,0.12894270830000001
780,0.83,1.027416048,0.661915871,0.46047857280588234
658,0.79,0.431889459,0.282458422,0.572094623664706
733,0.86,0.358662507,0.234555871,0.698408396016709
525,0.81,0.839577303,0.548054215,0.26123684820000004
569,0.79,0.398556516,0.25375912,0.5666841809966777
706,0.87,0.262477035,0.138990605,0.7469663861075826
574,0.88,0.985148883,0.74544665,0.17694044669999998
570,0.83,0.536950941,0.359112949,0.310393611
532,0.72,0.649084967,0.362639955,0.3488275078
771,0.81,0.683683146,0.420986517,0.5162977395823529
695,0.84,1.311925227,0.878661775,0.38535306450588236
574,0.72,0.832020154,0.56090691,0.3107072936
650,0.91,0.586310307,0.378707968,0.39467464308823524
533,0.84,0.465763189,0.312680794,0.3221556017
732,0.95,1.009601307,0.645222222,0.2548117647470588
592,0.91,0.50171018,0.345901796,0.2152388024
585,0.82,1.114380689,0.745959636,0.2139659675
639,0.75,0.45026547,0.269975172,0.4585537487142857
729,0.95,0.404756662,0.263007632,0.5313510112839555
666,0.76,0.334383222,0.168619409,0.8078975954411766
812,0.79,0.346056226,0.17420108,0.84613066589017
501,0.95,0.46507156,0.293752303,0.12911761370000002
798,0.74,0.369584066,0.245096661,0.8112215777765293
615,0.76,1.01874761,0.604152326,0.2877100064
794,0.88,0.284191247,0.162904909,0.7592580994474302
687,0.89,1.17947807,0.75579386,0.3585316305294118
723,0.9,1.141601085,0.74641791,0.3238451593235294
707,0.81,0.254141947,0.129601618,0.8025521059556381
664,0.81,0.502364983,0.324954994,0.5125621199470588
636,0.77,0.381461512,0.206486945,0.5875426829651162
522,0.72,0.436715916,0.270098011,0.4598648330428571
586,0.75,1.325963074,0.786042914,0.2387994012
